YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2023,0,0,24000,edmunds
2014,9,107000,8900,craigslist
2019,4,55000,11950,autotrader
2011,12,149600,7800,cargurus
2003,20,143360,6500,craigslist
2006,17,179000,3298,craigslist
2014,9,115000,10500,cargurus
2015,8,127000,12500,autotrader
2009,13,76000,9300,craigslist
2001,22,187757,3200,craigslist
2009,13,121250,7999,cargurus
2019,4,120000,10900,craigslist
2007,16,123000,5800,craigslist
2005,18,135011,5950,craigslist
2004,19,63000,7800,craigslist
2022,1,17000,19900,craigslist